Node,Degree,Clustering Coefficient,Betweenness,Closeness
3437,0,0.0,0.0,0.0
3825,26,0.23076923076923078,0.01491052181744136,0.326945420391693
3568,34,0.3083778966131907,0.009765156063732718,0.33250431607845354
3549,14,0.43956043956043955,0.022068447708446223,0.24110358627058642
3905,7,0.5238095238095238,0.002214700921149967,0.19977936206302846
3750,28,0.47883597883597884,0.0029717674449333256,0.35014380234256254
3596,85,0.31624649859943976,0.02083497123393519,0.38096454107690064
3710,25,0.69,0.0004266640008781217,0.2939960211205926
3713,25,0.7366666666666667,0.0010593205243364038,0.31485799280416477
3611,56,0.41363636363636364,0.004496438744030483,0.35846358040229753
3542,32,0.5161290322580645,0.015490493438385558,0.3376066841001178
3726,14,0.6703296703296703,0.002194984517658215,0.2918832802280731
3972,17,0.7720588235294118,0.00013693867551416866,0.285568877194475
3633,64,0.3834325396825397,0.007307756296592608,0.36950094746856843
3448,46,0.44830917874396137,0.0024574017665066027,0.35676814454904343
3550,18,0.38562091503267976,0.0015910493718816587,0.3243346768627668
3968,45,0.4535353535353535,0.003053768769967351,0.3517767181429609
1085,32,0.5100806451612904,0.00813215006808128,0.3577349958892847
3721,29,0.5369458128078818,0.0042862626747468295,0.3496800357169432
3623,18,0.6405228758169934,9.79661917574778e-05,0.2959735728321661
3866,18,0.5098039215686274,0.000700560090248608,0.3015516013321441
3640,41,0.5426829268292683,0.001163596071971768,0.3255344352235415
3800,48,0.46187943262411346,0.0028146520306308437,0.3589509544069234
3762,16,0.575,7.994124231558264e-05,0.2890075828859246
3559,26,0.40307692307692305,0.0036656767838623037,0.3356750501796467
3609,26,0.6861538461538461,0.00047078561568750265,0.3391245047736572
3495,55,0.36632996632996634,0.009037646084442205,0.35342493569784755
3793,48,0.3129432624113475,0.013751290740793209,0.34488364071364097
3951,34,0.5436720142602496,0.0008904415289446249,0.3046837010574635
3873,37,0.4894894894894895,0.0010678407015408996,0.34398492112871937
3471,24,0.5144927536231884,0.00108063471080523,0.31712723959914974
3851,58,0.42589231699939506,0.006829067681952601,0.3679559957718357
3780,15,0.49523809523809526,0.03654221674820853,0.326945420391693
3576,41,0.4658536585365854,0.0033908030329647524,0.3496800357169432
3707,23,0.4308300395256917,0.0004151750108820159,0.3006929692098999
3500,19,0.6432748538011696,0.001530673639559937,0.2813089259097412
3615,19,0.5847953216374269,0.004402685346127917,0.31243600824413265
3944,12,0.36363636363636365,0.000850778775130871,0.314295746388443
3867,25,0.7033333333333334,0.0026743178717982307,0.3105981493721084
3599,32,0.5564516129032258,0.0020875890270958116,0.30752292017040433
3845,19,0.6491228070175439,0.00041466969968342827,0.32473361250466437
3953,3,0.6666666666666666,1.1622198413916056e-05,0.257569197040285
3775,8,0.14285714285714285,0.005569013145574408,0.308241012219839
3799,13,0.3717948717948718,0.02442228752604584,0.30932446041744827
3638,10,0.5555555555555556,0.0017442482262638394,0.2677570253207831
3562,14,0.9120879120879121,0.00033462530985561655,0.2973067871242029
3479,14,0.9120879120879121,0.00033462530985561655,0.2973067871242029
3926,42,0.4889663182346109,0.0022826736636546237,0.35437372747153306
3930,46,0.30241545893719807,0.009784315765798258,0.351075035859431
3826,31,0.5376344086021505,0.0038537633171484343,0.324933448573898
3869,31,0.38924731182795697,0.021396241244814273,0.3604210607048357
3782,31,0.35053763440860214,0.013188331989205146,0.3213736177313355
3558,37,0.37537537537537535,0.0028244928845768524,0.30842105954006094
3838,60,0.37401129943502825,0.004152356152502107,0.3426455898329554
3804,48,0.5079787234042553,0.0026160557695944536,0.3553276271417122
3517,16,0.675,0.0003273455744340083,0.33397650470119183
3577,51,0.48,0.005255917940208775,0.37105892757033326
3620,15,0.5428571428571428,0.00022061260037487175,0.27415205292449857
3792,14,0.5604395604395604,0.00026082767001525545,0.26414049721489957
3860,36,0.6111111111111112,0.0008014552078494608,0.34398492112871937
3528,35,0.6285714285714286,0.0006700287460391326,0.32918756479587546
3924,40,0.5038461538461538,0.005814796202717678,0.32918756479587546
3969,24,0.6159420289855072,0.0005464506406002734,0.29899029101505337
3697,20,0.5736842105263158,0.0004130096596719433,0.3329236153421086
3830,107,0.16522659143008286,0.2125995132706712,0.41906099518459067
3702,37,0.506006006006006,0.0014253746612188838,0.3391245047736572
3627,18,0.6993464052287581,0.0002833763953722486,0.3165568668660577
3493,18,0.6862745098039216,0.000492027172895727,0.29547669498186024
3527,22,0.6796536796536796,0.00020788747914195568,0.3279607788401145
3612,18,0.16339869281045752,0.012686294705566875,0.3229460880321616
3937,13,0.44871794871794873,0.0005119221864046574,0.2771742015394143
3674,37,0.481981981981982,0.013937269799611768,0.36339769713185427
3463,23,0.6086956521739131,0.005091486431340243,0.3279607788401145
3909,21,0.4380952380952381,0.0013846972762954922,0.3078815474825565
3813,6,1.0,0.0,0.2958077613067699
3510,19,0.5672514619883041,0.0005374348415237963,0.2910787507897377
3915,21,0.6190476190476191,0.006072002248590054,0.33397650470119183
3677,49,0.375,0.01511281708235876,0.3555669050051073
3964,14,0.5714285714285714,0.013502362411398756,0.30538857948674625
3836,21,0.5142857142857142,0.018114843017877393,0.31114723272397427
3764,28,0.21957671957671956,0.008469580572708336,0.31942943371602195
3758,43,0.2912513842746401,0.007071054680112943,0.3251335307466652
3822,29,0.5443349753694581,0.004066250580319002,0.325936329588015
3833,31,0.5548387096774193,0.0010818223744908332,0.3066299964765298
3610,14,0.21978021978021978,0.01425211640881368,0.3167467630069492
3847,12,0.22727272727272727,0.003439185016962918,0.30328366107557975
3797,42,0.4738675958188153,0.005826287206778246,0.36264893814051113
862,21,0.4666666666666667,0.0036731658151705772,0.30752292017040433
3950,15,0.1619047619047619,0.0030432017831260746,0.31096398935959024
3529,34,0.37254901960784315,0.003039123669790156,0.30538857948674625
3741,17,0.6544117647058824,0.00108449000836258,0.33503607483031994
3895,12,0.2727272727272727,0.003949925021176646,0.3139220296864354
3464,30,0.3701149425287356,0.012210657550315767,0.34715112027125855
3788,11,0.8727272727272727,5.131889023106109e-05,0.3215693385703924
